Hamiltonian_Index,Number_of_Sites,Dimensions,Delta,J,Bx,By,Bz,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,1,0.000244140625,0.002250627956345236,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,2,0.00048828125,0.0029809521776102796,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,3,0.000732421875,0.003856961306328831,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,4,0.0009765625,0.006848809694205381,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,5,0.001220703125,0.011545598780170963,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,6,0.00146484375,0.020866045228150627,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,8,0.001953125,0.030610318405539155,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,11,0.002685546875,0.03542534386901201,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,14,0.00341796875,0.036094939541405725,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,18,0.00439453125,0.0829277806351973,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,23,0.005615234375,0.1485900467476087,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,31,0.007568359375,0.22432467833666286,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,40,0.009765625,0.24301166563761895,924.0,0.2255859375,True,1301957909
5,12,1,0.0,-0.806853,0.0,0.0,-0.047127,0.19970703125,0.0029296875,0.002250627956345236,1258,BARK,52,0.0126953125,0.22890873439005435,924.0,0.2255859375,True,1301957909
