Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
13,10,1,0.8,1.0,0.0107421875,0.001126082841256176,940.0,968.0,2971777425
13,10,1,0.85,1.0,0.0107421875,0.001126082841256176,962.0,965.0,2971777425
13,10,1,0.9,1.0,0.0107421875,0.001126082841256176,995.0,1008.0,2971777425
13,10,1,0.95,1.0,0.0107421875,0.001126082841256176,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.001126082841256176,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.0011260828412561835,940.0,inf,2971777425
13,10,1,0.85,1.0,0.0107421875,0.0011260828412561835,962.0,inf,2971777425
13,10,1,0.9,1.0,0.0107421875,0.0011260828412561835,995.0,inf,2971777425
13,10,1,0.95,1.0,0.0107421875,0.0011260828412561835,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.0011260828412561835,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.001126082841256184,940.0,inf,2971777425
13,10,1,0.85,1.0,0.0107421875,0.001126082841256184,962.0,inf,2971777425
13,10,1,0.9,1.0,0.0107421875,0.001126082841256184,995.0,inf,2971777425
13,10,1,0.95,1.0,0.0107421875,0.001126082841256184,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.001126082841256184,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.001126082841256184,940.0,964.0,2971777425
13,10,1,0.85,1.0,0.0107421875,0.001126082841256184,962.0,966.0,2971777425
13,10,1,0.9,1.0,0.0107421875,0.001126082841256184,995.0,inf,2971777425
13,10,1,0.95,1.0,0.0107421875,0.001126082841256184,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.001126082841256184,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.0011260828412561843,940.0,951.0,2971777425
13,10,1,0.85,1.0,0.0107421875,0.0011260828412561843,962.0,inf,2971777425
13,10,1,0.9,1.0,0.0107421875,0.0011260828412561843,995.0,inf,2971777425
13,10,1,0.95,1.0,0.0107421875,0.0011260828412561843,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.0011260828412561843,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.0008398348264645223,940.0,957.0,2971777425
13,10,1,0.85,1.0,0.0107421875,0.0008398348264645223,962.0,inf,2971777425
13,10,1,0.9,1.0,0.0107421875,0.0008398348264645223,995.0,1000.0,2971777425
13,10,1,0.95,1.0,0.0107421875,0.0008398348264645223,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.0008398348264645223,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.0008398348264645248,940.0,inf,2971777425
13,10,1,0.85,1.0,0.0107421875,0.0008398348264645248,962.0,945.0,2971777425
13,10,1,0.9,1.0,0.0107421875,0.0008398348264645248,995.0,inf,2971777425
13,10,1,0.95,1.0,0.0107421875,0.0008398348264645248,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.0008398348264645248,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.0008398348264645326,940.0,942.0,2971777425
13,10,1,0.85,1.0,0.0107421875,0.0008398348264645326,962.0,inf,2971777425
13,10,1,0.9,1.0,0.0107421875,0.0008398348264645326,995.0,983.0,2971777425
13,10,1,0.95,1.0,0.0107421875,0.0008398348264645326,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.0008398348264645326,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.0008398348264645388,940.0,inf,2971777425
13,10,1,0.85,1.0,0.0107421875,0.0008398348264645388,962.0,948.0,2971777425
13,10,1,0.9,1.0,0.0107421875,0.0008398348264645388,995.0,inf,2971777425
13,10,1,0.95,1.0,0.0107421875,0.0008398348264645388,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.0008398348264645388,1023.0,inf,2971777425
13,10,1,0.8,1.0,0.0107421875,0.0008398348264645424,940.0,inf,2971777425
13,10,1,0.85,1.0,0.0107421875,0.0008398348264645424,962.0,971.0,2971777425
13,10,1,0.9,1.0,0.0107421875,0.0008398348264645424,995.0,982.0,2971777425
13,10,1,0.95,1.0,0.0107421875,0.0008398348264645424,1014.0,inf,2971777425
13,10,1,0.99,1.0,0.0107421875,0.0008398348264645424,1023.0,inf,2971777425
13,10,2,0.8,1.0,0.0107421875,0.0013251460300601299,935.0,933.0,1281119580
13,10,2,0.85,1.0,0.0107421875,0.0013251460300601299,959.0,943.0,1281119580
13,10,2,0.9,1.0,0.0107421875,0.0013251460300601299,988.0,inf,1281119580
13,10,2,0.95,1.0,0.0107421875,0.0013251460300601299,1007.0,inf,1281119580
13,10,2,0.99,1.0,0.0107421875,0.0013251460300601299,1021.0,inf,1281119580
