Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
16,10,1,0.8,1.0,0.0107421875,0.001130838908080391,880.0,inf,3581003052
16,10,1,0.85,1.0,0.0107421875,0.001130838908080391,916.0,inf,3581003052
16,10,1,0.9,1.0,0.0107421875,0.001130838908080391,956.0,955.0,3581003052
16,10,1,0.95,1.0,0.0107421875,0.001130838908080391,992.0,inf,3581003052
16,10,1,0.99,1.0,0.0107421875,0.001130838908080391,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0011308389080803979,880.0,883.0,3581003052
16,10,1,0.85,1.0,0.0107421875,0.0011308389080803979,916.0,912.0,3581003052
16,10,1,0.9,1.0,0.0107421875,0.0011308389080803979,956.0,963.0,3581003052
16,10,1,0.95,1.0,0.0107421875,0.0011308389080803979,992.0,inf,3581003052
16,10,1,0.99,1.0,0.0107421875,0.0011308389080803979,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0011308389080803987,880.0,888.0,3581003052
16,10,1,0.85,1.0,0.0107421875,0.0011308389080803987,916.0,928.0,3581003052
16,10,1,0.9,1.0,0.0107421875,0.0011308389080803987,956.0,inf,3581003052
16,10,1,0.95,1.0,0.0107421875,0.0011308389080803987,992.0,inf,3581003052
16,10,1,0.99,1.0,0.0107421875,0.0011308389080803987,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0011308389080804035,880.0,872.0,3581003052
16,10,1,0.85,1.0,0.0107421875,0.0011308389080804035,916.0,916.0,3581003052
16,10,1,0.9,1.0,0.0107421875,0.0011308389080804035,956.0,inf,3581003052
16,10,1,0.95,1.0,0.0107421875,0.0011308389080804035,992.0,inf,3581003052
16,10,1,0.99,1.0,0.0107421875,0.0011308389080804035,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0011308389080804055,880.0,882.0,3581003052
16,10,1,0.85,1.0,0.0107421875,0.0011308389080804055,916.0,inf,3581003052
16,10,1,0.9,1.0,0.0107421875,0.0011308389080804055,956.0,955.0,3581003052
16,10,1,0.95,1.0,0.0107421875,0.0011308389080804055,992.0,inf,3581003052
16,10,1,0.99,1.0,0.0107421875,0.0011308389080804055,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0008393346837797543,878.0,905.0,3581003052
16,10,1,0.85,1.0,0.0107421875,0.0008393346837797543,916.0,inf,3581003052
16,10,1,0.9,1.0,0.0107421875,0.0008393346837797543,955.0,957.0,3581003052
16,10,1,0.95,1.0,0.0107421875,0.0008393346837797543,990.0,987.0,3581003052
16,10,1,0.99,1.0,0.0107421875,0.0008393346837797543,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0008393346837797551,878.0,906.0,3581003052
16,10,1,0.85,1.0,0.0107421875,0.0008393346837797551,916.0,921.0,3581003052
16,10,1,0.9,1.0,0.0107421875,0.0008393346837797551,955.0,963.0,3581003052
16,10,1,0.95,1.0,0.0107421875,0.0008393346837797551,990.0,993.0,3581003052
16,10,1,0.99,1.0,0.0107421875,0.0008393346837797551,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0008393346837797603,878.0,890.0,3581003052
16,10,1,0.85,1.0,0.0107421875,0.0008393346837797603,916.0,917.0,3581003052
16,10,1,0.9,1.0,0.0107421875,0.0008393346837797603,955.0,inf,3581003052
16,10,1,0.95,1.0,0.0107421875,0.0008393346837797603,990.0,997.0,3581003052
16,10,1,0.99,1.0,0.0107421875,0.0008393346837797603,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0008393346837797614,878.0,875.0,3581003052
16,10,1,0.85,1.0,0.0107421875,0.0008393346837797614,916.0,911.0,3581003052
16,10,1,0.9,1.0,0.0107421875,0.0008393346837797614,955.0,957.0,3581003052
16,10,1,0.95,1.0,0.0107421875,0.0008393346837797614,990.0,994.0,3581003052
16,10,1,0.99,1.0,0.0107421875,0.0008393346837797614,1018.0,inf,3581003052
16,10,1,0.8,1.0,0.0107421875,0.0008393346837797624,878.0,872.0,3581003052
