Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
7,10,1,0.8,1.0,0.0107421875,0.001201510410659502,947.0,931.0,3026165301
7,10,1,0.85,1.0,0.0107421875,0.001201510410659502,974.0,inf,3026165301
7,10,1,0.9,1.0,0.0107421875,0.001201510410659502,991.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.001201510410659502,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.001201510410659502,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.001201510410659503,947.0,902.0,3026165301
7,10,1,0.85,1.0,0.0107421875,0.001201510410659503,974.0,944.0,3026165301
7,10,1,0.9,1.0,0.0107421875,0.001201510410659503,991.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.001201510410659503,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.001201510410659503,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.0012015104106595036,947.0,914.0,3026165301
7,10,1,0.85,1.0,0.0107421875,0.0012015104106595036,974.0,949.0,3026165301
7,10,1,0.9,1.0,0.0107421875,0.0012015104106595036,991.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.0012015104106595036,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.0012015104106595036,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.001201510410659504,947.0,945.0,3026165301
7,10,1,0.85,1.0,0.0107421875,0.001201510410659504,974.0,940.0,3026165301
7,10,1,0.9,1.0,0.0107421875,0.001201510410659504,991.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.001201510410659504,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.001201510410659504,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.0012015104106595045,947.0,920.0,3026165301
7,10,1,0.85,1.0,0.0107421875,0.0012015104106595045,974.0,951.0,3026165301
7,10,1,0.9,1.0,0.0107421875,0.0012015104106595045,991.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.0012015104106595045,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.0012015104106595045,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.0007831937797730289,944.0,inf,3026165301
7,10,1,0.85,1.0,0.0107421875,0.0007831937797730289,965.0,inf,3026165301
7,10,1,0.9,1.0,0.0107421875,0.0007831937797730289,990.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.0007831937797730289,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.0007831937797730289,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.0007831937797730291,944.0,inf,3026165301
7,10,1,0.85,1.0,0.0107421875,0.0007831937797730291,965.0,inf,3026165301
7,10,1,0.9,1.0,0.0107421875,0.0007831937797730291,990.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.0007831937797730291,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.0007831937797730291,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.0007831937797730297,944.0,934.0,3026165301
7,10,1,0.85,1.0,0.0107421875,0.0007831937797730297,965.0,inf,3026165301
7,10,1,0.9,1.0,0.0107421875,0.0007831937797730297,990.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.0007831937797730297,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.0007831937797730297,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.0007831937797730306,944.0,944.0,3026165301
7,10,1,0.85,1.0,0.0107421875,0.0007831937797730306,965.0,inf,3026165301
7,10,1,0.9,1.0,0.0107421875,0.0007831937797730306,990.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.0007831937797730306,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.0007831937797730306,1021.0,inf,3026165301
7,10,1,0.8,1.0,0.0107421875,0.0007831937797730355,944.0,939.0,3026165301
7,10,1,0.85,1.0,0.0107421875,0.0007831937797730355,965.0,945.0,3026165301
7,10,1,0.9,1.0,0.0107421875,0.0007831937797730355,990.0,inf,3026165301
7,10,1,0.95,1.0,0.0107421875,0.0007831937797730355,1008.0,inf,3026165301
7,10,1,0.99,1.0,0.0107421875,0.0007831937797730355,1021.0,inf,3026165301
7,10,2,0.8,1.0,0.0107421875,0.0012094569499297924,888.0,877.0,2944241545
7,10,2,0.85,1.0,0.0107421875,0.0012094569499297924,927.0,923.0,2944241545
7,10,2,0.9,1.0,0.0107421875,0.0012094569499297924,960.0,965.0,2944241545
7,10,2,0.95,1.0,0.0107421875,0.0012094569499297924,995.0,inf,2944241545
7,10,2,0.99,1.0,0.0107421875,0.0012094569499297924,1019.0,inf,2944241545
7,10,2,0.8,1.0,0.0107421875,0.001215977591338718,862.0,901.0,2944241545
7,10,2,0.85,1.0,0.0107421875,0.001215977591338718,907.0,918.0,2944241545
7,10,2,0.9,1.0,0.0107421875,0.001215977591338718,953.0,957.0,2944241545
7,10,2,0.95,1.0,0.0107421875,0.001215977591338718,990.0,inf,2944241545
7,10,2,0.99,1.0,0.0107421875,0.001215977591338718,1018.0,inf,2944241545
7,10,2,0.8,1.0,0.0107421875,0.0012159775913387196,862.0,916.0,2944241545
7,10,2,0.85,1.0,0.0107421875,0.0012159775913387196,907.0,923.0,2944241545
7,10,2,0.9,1.0,0.0107421875,0.0012159775913387196,953.0,959.0,2944241545
7,10,2,0.95,1.0,0.0107421875,0.0012159775913387196,990.0,inf,2944241545
7,10,2,0.99,1.0,0.0107421875,0.0012159775913387196,1018.0,inf,2944241545
