Hamiltonian_Index,Number_of_Sites,Max_Interactions,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,1,0.015625,0.04338267084861699,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,2,0.03125,0.9133031255979636,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,3,0.046875,0.9643652361713132,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,4,0.0625,0.9671092119703816,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,5,0.078125,0.9671528321888923,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,6,0.09375,0.9684127507647289,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,7,0.109375,0.9984049483191987,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,8,0.125,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,9,0.140625,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,10,0.15625,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,11,0.171875,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,12,0.1875,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,14,0.21875,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,16,0.25,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,18,0.28125,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,20,0.3125,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,22,0.34375,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,25,0.390625,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,28,0.4375,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,BARK,32,0.5,1.0,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,1,0.015625,0.04338267084861699,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,2,0.03125,0.045938505455247254,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,3,0.046875,0.9152321935374672,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,4,0.0625,0.9671092119703818,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,5,0.078125,0.996300756556497,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,6,0.09375,0.998322142510469,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,7,0.109375,0.999909007232508,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,8,0.125,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,9,0.140625,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,10,0.15625,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,11,0.171875,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,12,0.1875,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,14,0.21875,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,16,0.25,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,18,0.28125,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,20,0.3125,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,22,0.34375,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,25,0.390625,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,28,0.4375,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,Simplified BARK,32,0.5,1.0000000000000004,8.0,0.125,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,SKQD,1,0.015625,0.04338267084861699,4.0,0.0625,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,SKQD,2,0.03125,0.04338267084861699,4.0,0.0625,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,SKQD,3,0.046875,0.04338267084861699,4.0,0.0625,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,SKQD,4,0.0625,0.916271112309826,4.0,0.0625,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,SKQD,5,0.078125,0.916271112309826,4.0,0.0625,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,SKQD,6,0.09375,0.916271112309826,4.0,0.0625,True,2866869562
3,6,1,0.125,0.0625,0.04338267084861699,34,SKQD,7,0.109375,0.916271112309826,4.0,0.0625,True,2866869562
