Hamiltonian_Index,Number_of_Sites,Max_Interactions,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,1,0.015625,0.009179607829242977,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,2,0.03125,0.981595699204148,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,3,0.046875,0.9991843695218943,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,4,0.0625,0.9993543574568962,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,5,0.078125,0.9993544126123747,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,6,0.09375,0.9993628357146034,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,7,0.109375,0.9999939704946896,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,8,0.125,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,9,0.140625,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,10,0.15625,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,11,0.171875,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,12,0.1875,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,14,0.21875,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,16,0.25,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,18,0.28125,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,20,0.3125,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,22,0.34375,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,25,0.390625,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,28,0.4375,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,BARK,32,0.5,1.0,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,1,0.015625,0.009179607829242977,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,2,0.03125,0.009345681823318087,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,3,0.046875,0.019325861958746346,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,4,0.0625,0.9993543574568966,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,5,0.078125,0.9993544126123742,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,6,0.09375,0.9993585237608301,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,7,0.109375,0.9993669610011257,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,8,0.125,0.9999999999999998,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,9,0.140625,0.9999999999999998,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,10,0.15625,0.9999999999999998,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,11,0.171875,0.9999999999999998,8.0,0.125,True,120343439
7,6,1,0.109375,0.0625,0.009179607829242977,24,Simplified BARK,12,0.1875,0.9999999999999998,8.0,0.125,True,120343439
