Hamiltonian_Index,Number_of_Sites,Max_Interactions,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,1,0.015625,0.030244659262468266,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,2,0.03125,0.9142209929202711,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,3,0.046875,0.995775565901438,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,4,0.0625,0.9991130051929663,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,5,0.078125,0.9991145125235906,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,6,0.09375,0.9991814369763964,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,7,0.109375,0.999971762438504,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,8,0.125,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,9,0.140625,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,10,0.15625,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,11,0.171875,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,12,0.1875,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,14,0.21875,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,16,0.25,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,18,0.28125,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,20,0.3125,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,22,0.34375,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,25,0.390625,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,28,0.4375,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,BARK,32,0.5,0.9999999999999993,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,1,0.015625,0.030244659262468266,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,2,0.03125,0.9142209929202711,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,3,0.046875,0.9155019360410429,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,4,0.0625,0.9991130051929665,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,5,0.078125,0.9991145125235906,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,6,0.09375,0.9991814369763962,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,7,0.109375,0.9992002893990038,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,8,0.125,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,9,0.140625,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,10,0.15625,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,11,0.171875,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,12,0.1875,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,14,0.21875,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,16,0.25,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,18,0.28125,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,20,0.3125,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,22,0.34375,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,25,0.390625,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,28,0.4375,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,Simplified BARK,32,0.5,0.9999999999999989,8.0,0.125,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,1,0.015625,0.030244659262468266,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,2,0.03125,0.030244659262468266,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,3,0.046875,0.6204161771148512,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,4,0.0625,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,5,0.078125,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,6,0.09375,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,7,0.109375,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,8,0.125,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,9,0.140625,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,10,0.15625,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,11,0.171875,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,12,0.1875,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,14,0.21875,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,16,0.25,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,18,0.28125,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,20,0.3125,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,22,0.34375,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,25,0.390625,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
0,6,1,0.125,0.0625,0.030244659262468266,50,SKQD,28,0.4375,0.9712426488089919,3.6666666666666665,0.057291666666666664,True,2934209945
