Hamiltonian_Index,Number_of_Sites,Max_Interactions,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,1,0.015625,0.007301402012825249,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,2,0.03125,0.8112240145491049,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,3,0.046875,0.997057428299596,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,4,0.0625,0.9988417740355668,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,5,0.078125,0.9988428437345381,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,6,0.09375,0.9990240424385929,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,7,0.109375,0.999991297112517,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,8,0.125,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,9,0.140625,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,10,0.15625,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,11,0.171875,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,12,0.1875,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,14,0.21875,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,16,0.25,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,18,0.28125,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,20,0.3125,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,22,0.34375,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,25,0.390625,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,28,0.4375,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,BARK,32,0.5,0.9999999999999989,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,1,0.015625,0.007301402012825249,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,2,0.03125,0.0089900510939519,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,3,0.046875,0.8122256763736835,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,4,0.0625,0.9988417740355671,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,5,0.078125,0.9997544746642502,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,6,0.09375,0.9999893921354074,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,7,0.109375,0.9999979910055601,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,8,0.125,0.9999999999999996,8.0,0.125,True,1769744075
8,6,1,0.125,0.0625,0.007301402012825249,19,Simplified BARK,9,0.140625,0.9999999999999996,8.0,0.125,True,1769744075
