Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Penalty_Strength,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
2,8,1,0.8,10.0,0.02734375,0.01953125,6.52817331255099e-06,3.0,inf,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,6.52817331255099e-06,3.0,inf,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,6.52817331255099e-06,3.0,inf,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,6.52817331255099e-06,3.0,inf,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,6.52817331255099e-06,3.0,inf,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,0.00028811021122185365,2.0,inf,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,0.00028811021122185365,2.0,inf,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,0.00028811021122185365,2.0,inf,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,0.00028811021122185365,2.0,inf,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,0.00028811021122185365,3.0,inf,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,0.00043132559217021367,2.0,inf,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,0.00043132559217021367,2.0,inf,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,0.00043132559217021367,2.0,inf,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,0.00043132559217021367,2.0,inf,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,0.00043132559217021367,3.0,inf,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,0.014898564955262511,2.0,2.0,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,0.014898564955262511,2.0,2.0,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,0.014898564955262511,2.0,2.0,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,0.014898564955262511,2.0,2.0,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,0.014898564955262511,2.0,2.0,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,0.9843691403627645,2.0,2.0,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,0.9843691403627645,2.0,2.0,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,0.9843691403627645,2.0,2.0,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,0.9843691403627645,2.0,2.0,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,0.9843691403627645,2.0,2.0,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,0.0,inf,inf,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,7.994889635736554e-64,inf,inf,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,7.994889635736554e-64,inf,inf,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,7.994889635736554e-64,inf,inf,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,7.994889635736554e-64,inf,inf,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,7.994889635736554e-64,inf,inf,558157321
2,8,1,0.8,10.0,0.02734375,0.01953125,1.1210387714598537e-44,inf,inf,558157321
2,8,1,0.85,10.0,0.02734375,0.01953125,1.1210387714598537e-44,inf,inf,558157321
2,8,1,0.9,10.0,0.02734375,0.01953125,1.1210387714598537e-44,inf,inf,558157321
2,8,1,0.95,10.0,0.02734375,0.01953125,1.1210387714598537e-44,inf,inf,558157321
2,8,1,0.99,10.0,0.02734375,0.01953125,1.1210387714598537e-44,inf,inf,558157321
9,8,1,0.8,1.0,0.05078125,0.01953125,0.03411846506305909,7.0,8.0,1360256482
9,8,1,0.85,1.0,0.05078125,0.01953125,0.03411846506305909,7.0,8.0,1360256482
9,8,1,0.9,1.0,0.05078125,0.01953125,0.03411846506305909,7.0,8.0,1360256482
9,8,1,0.95,1.0,0.05078125,0.01953125,0.03411846506305909,7.0,8.0,1360256482
9,8,1,0.99,1.0,0.05078125,0.01953125,0.03411846506305909,8.0,inf,1360256482
9,8,1,0.8,1.0,0.05078125,0.01953125,0.14298226237659636,4.0,5.0,1360256482
9,8,1,0.85,1.0,0.05078125,0.01953125,0.14298226237659636,4.0,5.0,1360256482
9,8,1,0.9,1.0,0.05078125,0.01953125,0.14298226237659636,4.0,5.0,1360256482
9,8,1,0.95,1.0,0.05078125,0.01953125,0.14298226237659636,7.0,7.0,1360256482
9,8,1,0.99,1.0,0.05078125,0.01953125,0.14298226237659636,8.0,8.0,1360256482
9,8,1,0.8,1.0,0.05078125,0.01953125,0.20011716898693965,4.0,4.0,1360256482
9,8,1,0.85,1.0,0.05078125,0.01953125,0.20011716898693965,4.0,4.0,1360256482
9,8,1,0.9,1.0,0.05078125,0.01953125,0.20011716898693965,4.0,4.0,1360256482
9,8,1,0.95,1.0,0.05078125,0.01953125,0.20011716898693965,7.0,8.0,1360256482
9,8,1,0.99,1.0,0.05078125,0.01953125,0.20011716898693965,8.0,8.0,1360256482
9,8,1,0.8,1.0,0.05078125,0.01953125,0.23449970830128405,4.0,4.0,1360256482
9,8,1,0.85,1.0,0.05078125,0.01953125,0.23449970830128405,4.0,4.0,1360256482
9,8,1,0.9,1.0,0.05078125,0.01953125,0.23449970830128405,4.0,4.0,1360256482
9,8,1,0.95,1.0,0.05078125,0.01953125,0.23449970830128405,7.0,7.0,1360256482
9,8,1,0.99,1.0,0.05078125,0.01953125,0.23449970830128405,8.0,8.0,1360256482
9,8,1,0.8,1.0,0.05078125,0.01953125,0.3282044707749516,4.0,5.0,1360256482
9,8,1,0.85,1.0,0.05078125,0.01953125,0.3282044707749516,4.0,5.0,1360256482
9,8,1,0.9,1.0,0.05078125,0.01953125,0.3282044707749516,4.0,5.0,1360256482
9,8,1,0.95,1.0,0.05078125,0.01953125,0.3282044707749516,6.0,7.0,1360256482
9,8,1,0.99,1.0,0.05078125,0.01953125,0.3282044707749516,8.0,8.0,1360256482
9,8,1,0.8,1.0,0.05078125,0.01953125,2.041563003878365e-127,inf,inf,1360256482
9,8,1,0.85,1.0,0.05078125,0.01953125,2.041563003878365e-127,inf,inf,1360256482
9,8,1,0.9,1.0,0.05078125,0.01953125,2.041563003878365e-127,inf,inf,1360256482
9,8,1,0.95,1.0,0.05078125,0.01953125,2.041563003878365e-127,inf,inf,1360256482
9,8,1,0.99,1.0,0.05078125,0.01953125,2.041563003878365e-127,inf,inf,1360256482
9,8,1,0.8,1.0,0.05078125,0.01953125,3.4856629892604607e-125,inf,inf,1360256482
9,8,1,0.85,1.0,0.05078125,0.01953125,3.4856629892604607e-125,inf,inf,1360256482
9,8,1,0.9,1.0,0.05078125,0.01953125,3.4856629892604607e-125,inf,inf,1360256482
9,8,1,0.95,1.0,0.05078125,0.01953125,3.4856629892604607e-125,inf,inf,1360256482
9,8,1,0.99,1.0,0.05078125,0.01953125,3.4856629892604607e-125,inf,inf,1360256482
9,8,1,0.8,1.0,0.05078125,0.01953125,5.934729841099874e-67,inf,inf,1360256482
9,8,1,0.85,1.0,0.05078125,0.01953125,5.934729841099874e-67,inf,inf,1360256482
9,8,1,0.9,1.0,0.05078125,0.01953125,5.934729841099874e-67,inf,inf,1360256482
9,8,1,0.95,1.0,0.05078125,0.01953125,5.934729841099874e-67,inf,inf,1360256482
9,8,1,0.99,1.0,0.05078125,0.01953125,5.934729841099874e-67,inf,inf,1360256482
9,8,1,0.8,1.0,0.05078125,0.01953125,2.3738919364399497e-66,inf,inf,1360256482
