Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Penalty_Strength,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
2,6,1,0.8,1.0,0.109375,0.0625,0.00012972341244865828,3.0,inf,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,0.00012972341244865828,3.0,inf,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,0.00012972341244865828,3.0,inf,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,0.00012972341244865828,3.0,inf,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,0.00012972341244865828,3.0,inf,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,0.00167631917892516,2.0,inf,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,0.00167631917892516,2.0,inf,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,0.00167631917892516,2.0,inf,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,0.00167631917892516,2.0,inf,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,0.00167631917892516,3.0,inf,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,0.006309609931678179,2.0,3.0,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,0.006309609931678179,2.0,3.0,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,0.006309609931678179,2.0,3.0,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,0.006309609931678179,2.0,3.0,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,0.006309609931678179,3.0,inf,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,0.019981060731396817,2.0,2.0,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,0.019981060731396817,2.0,2.0,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,0.019981060731396817,2.0,2.0,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,0.019981060731396817,2.0,2.0,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,0.019981060731396817,2.0,2.0,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,0.9718577152461347,2.0,inf,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,0.9718577152461347,2.0,inf,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,0.9718577152461347,2.0,inf,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,0.9718577152461347,2.0,inf,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,0.9718577152461347,2.0,inf,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,0.0,inf,inf,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,4.9483063099533974e-40,inf,inf,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,4.9483063099533974e-40,inf,inf,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,4.9483063099533974e-40,inf,inf,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,4.9483063099533974e-40,inf,inf,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,4.9483063099533974e-40,inf,inf,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,5.800221360424525e-39,inf,inf,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,5.800221360424525e-39,inf,inf,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,5.800221360424525e-39,inf,inf,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,5.800221360424525e-39,inf,inf,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,5.800221360424525e-39,inf,inf,1367442668
2,6,1,0.8,1.0,0.109375,0.0625,9.950360310872101e-39,inf,inf,1367442668
2,6,1,0.85,1.0,0.109375,0.0625,9.950360310872101e-39,inf,inf,1367442668
2,6,1,0.9,1.0,0.109375,0.0625,9.950360310872101e-39,inf,inf,1367442668
2,6,1,0.95,1.0,0.109375,0.0625,9.950360310872101e-39,inf,inf,1367442668
2,6,1,0.99,1.0,0.109375,0.0625,9.950360310872101e-39,inf,inf,1367442668
5,6,1,0.8,10.0,0.0625,0.0625,1.1959555725910234e-07,3.0,inf,1118658771
5,6,1,0.85,10.0,0.0625,0.0625,1.1959555725910234e-07,3.0,inf,1118658771
5,6,1,0.9,10.0,0.0625,0.0625,1.1959555725910234e-07,3.0,inf,1118658771
5,6,1,0.95,10.0,0.0625,0.0625,1.1959555725910234e-07,3.0,inf,1118658771
5,6,1,0.99,10.0,0.0625,0.0625,1.1959555725910234e-07,3.0,inf,1118658771
5,6,1,0.8,10.0,0.0625,0.0625,5.742946578082146e-05,2.0,inf,1118658771
5,6,1,0.85,10.0,0.0625,0.0625,5.742946578082146e-05,2.0,inf,1118658771
5,6,1,0.9,10.0,0.0625,0.0625,5.742946578082146e-05,2.0,inf,1118658771
5,6,1,0.95,10.0,0.0625,0.0625,5.742946578082146e-05,2.0,inf,1118658771
5,6,1,0.99,10.0,0.0625,0.0625,5.742946578082146e-05,2.0,inf,1118658771
