Number_of_Sites,Ground_State_Density,Hamiltonian_Density,Max_Interactions,Fidelity,Overlap,BARK_Pool_Size,SKQD_Pool_Size
8,0.98828125,0.05078125,1,0.9,3.4396773648981943e-07,90,inf
8,0.98828125,0.05078125,1,0.9,7.497142750439438e-07,89,inf
8,0.98828125,0.05078125,1,0.9,8.614759451360029e-07,148,inf
8,0.98828125,0.05078125,1,0.9,1.4347096549625772e-06,90,inf
8,0.98828125,0.05078125,1,0.9,1.5883010292605477e-06,90,inf
8,1.0,0.06640625,2,0.8,0.03269256185275065,94,181
8,1.0,0.06640625,2,0.8,0.03384450262967083,100,139
8,1.0,0.06640625,2,0.8,0.038533724815099035,99,160
8,1.0,0.06640625,2,0.8,0.05217424808966435,111,148
8,1.0,0.06640625,2,0.8,0.07406151671589001,100,inf
8,1.0,0.06640625,2,0.8,9.209475477484277e-06,97,238
8,1.0,0.06640625,2,0.8,1.1433276465581433e-05,110,inf
8,1.0,0.06640625,2,0.8,1.6228635891738257e-05,99,inf
8,1.0,0.06640625,2,0.8,2.0870489964703973e-05,118,inf
8,1.0,0.06640625,2,0.8,2.172787934075192e-05,112,inf
8,1.0,0.06640625,2,0.85,0.03269256185275065,118,180
8,1.0,0.06640625,2,0.85,0.03384450262967083,114,174
8,1.0,0.06640625,2,0.85,0.038533724815099035,112,175
8,1.0,0.06640625,2,0.85,0.05217424808966435,124,183
8,1.0,0.06640625,2,0.85,0.07406151671589001,114,169
8,1.0,0.06640625,2,0.85,9.209475477484277e-06,113,inf
8,1.0,0.06640625,2,0.85,1.1433276465581433e-05,122,inf
8,1.0,0.06640625,2,0.85,1.6228635891738257e-05,114,inf
8,1.0,0.06640625,2,0.85,2.0870489964703973e-05,142,inf
8,1.0,0.06640625,2,0.85,2.172787934075192e-05,125,inf
8,1.0,0.06640625,2,0.9,0.03269256185275065,147,inf
8,1.0,0.06640625,2,0.9,0.03384450262967083,131,194
8,1.0,0.06640625,2,0.9,0.038533724815099035,133,170
8,1.0,0.06640625,2,0.9,0.05217424808966435,140,188
8,1.0,0.06640625,2,0.9,0.07406151671589001,131,176
8,1.0,0.06640625,2,0.9,9.209475477484277e-06,147,inf
8,1.0,0.06640625,2,0.9,1.1433276465581433e-05,140,inf
8,1.0,0.06640625,2,0.9,1.6228635891738257e-05,152,inf
8,1.0,0.06640625,2,0.9,2.0870489964703973e-05,150,inf
8,1.0,0.06640625,2,0.9,2.172787934075192e-05,141,inf
6,1.0,0.15625,1,0.8,0.03997491837877984,31,47
6,1.0,0.15625,1,0.8,0.04010067227128385,31,42
6,1.0,0.15625,1,0.8,0.04649250536641199,31,52
6,1.0,0.15625,1,0.8,0.05278540727379892,46,50
6,1.0,0.15625,1,0.8,0.05295146065680259,31,45
6,1.0,0.15625,1,0.8,0.0015208815141758694,32,57
6,1.0,0.15625,1,0.8,0.001567269334017632,32,54
6,1.0,0.15625,1,0.8,0.00252398902354067,32,60
6,1.0,0.15625,1,0.8,0.002600972238219322,46,52
6,1.0,0.15625,1,0.8,0.0030525649935714333,37,inf
6,1.0,0.15625,1,0.85,0.03997491837877984,38,49
6,1.0,0.15625,1,0.85,0.04010067227128385,38,53
6,1.0,0.15625,1,0.85,0.04649250536641199,38,54
6,1.0,0.15625,1,0.85,0.05278540727379892,47,52
6,1.0,0.15625,1,0.85,0.05295146065680259,38,48
6,1.0,0.15625,1,0.85,0.0015208815141758694,39,inf
6,1.0,0.15625,1,0.85,0.001567269334017632,39,59
6,1.0,0.15625,1,0.85,0.00252398902354067,39,61
6,1.0,0.15625,1,0.85,0.002600972238219322,50,59
6,1.0,0.15625,1,0.85,0.0030525649935714333,39,60
6,1.0,0.15625,1,0.9,0.03997491837877984,46,inf
6,1.0,0.15625,1,0.9,0.04010067227128385,46,inf
6,1.0,0.15625,1,0.9,0.04649250536641199,46,59
6,1.0,0.15625,1,0.9,0.05278540727379892,50,58
6,1.0,0.15625,1,0.9,0.05295146065680259,46,59
6,1.0,0.15625,1,0.9,0.0015208815141758694,47,61
6,1.0,0.15625,1,0.9,0.001567269334017632,47,64
6,1.0,0.15625,1,0.9,0.00252398902354067,46,inf
6,1.0,0.15625,1,0.9,0.002600972238219322,52,61
6,1.0,0.15625,1,0.9,0.0030525649935714333,48,63
6,1.0,0.203125,2,0.8,0.049157516517656805,36,34
6,1.0,0.203125,2,0.8,0.05552644863459179,36,47
6,1.0,0.203125,2,0.8,0.08582306546966767,36,31
6,1.0,0.203125,2,0.8,0.11084113410456083,36,34
6,1.0,0.203125,2,0.8,0.1282666104162273,36,42
6,1.0,0.203125,2,0.8,8.387411355900725e-05,38,56
6,1.0,0.203125,2,0.8,0.00013678659943857358,38,inf
6,1.0,0.203125,2,0.8,0.00020644806256999077,38,inf
6,1.0,0.203125,2,0.8,0.00023049783624912943,37,61
6,1.0,0.203125,2,0.8,0.0006441826666376785,39,inf
6,1.0,0.203125,2,0.85,0.049157516517656805,39,44
6,1.0,0.203125,2,0.85,0.05552644863459179,39,42
6,1.0,0.203125,2,0.85,0.08582306546966767,39,61
6,1.0,0.203125,2,0.85,0.11084113410456083,39,44
6,1.0,0.203125,2,0.85,0.1282666104162273,39,45
6,1.0,0.203125,2,0.85,8.387411355900725e-05,41,64
6,1.0,0.203125,2,0.85,0.00013678659943857358,41,inf
6,1.0,0.203125,2,0.85,0.00020644806256999077,41,62
6,1.0,0.203125,2,0.85,0.00023049783624912943,40,61
6,1.0,0.203125,2,0.85,0.0006441826666376785,40,inf
6,1.0,0.203125,2,0.9,0.049157516517656805,45,50
6,1.0,0.203125,2,0.9,0.05552644863459179,45,49
6,1.0,0.203125,2,0.9,0.08582306546966767,45,45
6,1.0,0.203125,2,0.9,0.11084113410456083,45,inf
6,1.0,0.203125,2,0.9,0.1282666104162273,45,43
6,1.0,0.203125,2,0.9,8.387411355900725e-05,44,inf
6,1.0,0.203125,2,0.9,0.00013678659943857358,44,inf
6,1.0,0.203125,2,0.9,0.00020644806256999077,46,inf
6,1.0,0.203125,2,0.9,0.00023049783624912943,46,61
6,1.0,0.203125,2,0.9,0.0006441826666376785,44,inf
8,0.984375,0.05078125,1,0.8,0.0409187088418544,45,68
8,0.984375,0.05078125,1,0.8,0.07485304470804796,37,56
8,0.984375,0.05078125,1,0.8,0.09032952872813876,37,51
8,0.984375,0.05078125,1,0.8,0.11513313578421495,45,54
8,0.984375,0.05078125,1,0.8,0.13893786067011876,45,58
8,0.984375,0.05078125,1,0.8,3.335561531079266e-07,49,inf
8,0.984375,0.05078125,1,0.8,3.8726646461095304e-07,49,inf
8,0.984375,0.05078125,1,0.8,5.922698706796137e-07,49,inf
8,0.984375,0.05078125,1,0.8,6.876391179612701e-07,207,inf
8,0.984375,0.05078125,1,0.8,1.056191393583277e-06,49,inf
8,0.984375,0.05078125,1,0.85,0.0409187088418544,66,74
8,0.984375,0.05078125,1,0.85,0.07485304470804796,70,86
8,0.984375,0.05078125,1,0.85,0.09032952872813876,70,84
8,0.984375,0.05078125,1,0.85,0.11513313578421495,66,77
8,0.984375,0.05078125,1,0.85,0.13893786067011876,66,73
8,0.984375,0.05078125,1,0.85,3.335561531079266e-07,70,inf
8,0.984375,0.05078125,1,0.85,3.8726646461095304e-07,70,inf
